STATION,STATION_NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,AWND,WT09,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USC00272303,EAST SANDWICH NH US,20161005,0.00,0.0,-9999,62,40,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161006,0.00,0.0,-9999,70,40,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161007,0.01,0.0,-9999,72,41,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161008,0.00,0.0,-9999,74,41,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161009,0.04,0.0,-9999,63,43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161010,0.15,0.0,-9999,53,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161011,0.00,0.0,-9999,56,29,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161012,0.00,0.0,-9999,65,29,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161013,0.00,0.0,-9999,68,37,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161014,0.09,0.0,-9999,65,34,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161015,0.00,0.0,-9999,60,27,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161016,0.00,0.0,-9999,57,26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161017,0.07,0.0,-9999,64,38,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161018,0.00,0.0,-9999,72,52,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161019,0.02,0.0,-9999,63,50,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161020,0.00,0.0,-9999,72,38,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161021,0.17,0.0,-9999,63,36,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161022,1.02,0.0,-9999,61,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1
GHCND:USC00272303,EAST SANDWICH NH US,20161023,0.82,0.0,-9999,62,36,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161024,0.03,0.0,-9999,45,37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161025,0.01,0.0,-9999,52,37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161026,0.01,0.0,-9999,42,31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161027,0.00,0.0,-9999,46,24,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161028,1.40,0.0,-9999,45,25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161029,0.86,0.0,-9999,43,34,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161030,0.52,0.0,-9999,47,34,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161031,0.06,0.0,-9999,51,35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161101,0.00,0.0,-9999,48,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161102,0.00,0.0,-9999,47,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161103,0.03,0.0,-9999,63,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161104,0.99,0.0,-9999,50,35,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161105,0.00,0.0,-9999,47,29,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161106,0.03,0.0,-9999,46,30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161107,0.00,0.0,-9999,48,25,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161108,0.00,0.0,-9999,50,25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161109,0.01,0.0,-9999,62,26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161110,0.00,0.0,-9999,57,26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161111,0.00,0.0,-9999,51,26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161112,0.00,0.0,-9999,49,26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161113,0.00,0.0,-9999,44,26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161114,0.00,0.0,-9999,56,38,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161115,0.00,0.0,-9999,62,36,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161116,1.17,0.0,-9999,53,36,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161117,0.14,0.0,-9999,56,39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00272303,EAST SANDWICH NH US,20161118,0.02,0.0,-9999,55,29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
